Trrsrt Nm,CL_NM,CL_NM2
2월22일,기타,
감귤박물관,테마관광지,
건강과성박물관,테마관광지,공연전시
고스트타운,기타,
고흐의 정원,공연전시,
공룡랜드,테마관광지,키즈
그대나의뮤즈,공연전시,기타
그리스신화박물관,테마관광지,
그림카페,기타,
그림포레스트,공연전시,
김녕요트투어,레저/체험,레저관광
꽃썸,기타,
노리매테마파크,테마관광지,테마파크
노형수퍼마R,문화관광,공연전시
다이나믹메이즈에피소드3,테마파크,
대유 ATV 수렵 사격랜드,레저/체험,
더마파크,테마파크,테마관광지
더힐링타임,기타,
돈키쥬쥬,키즈,
디저트카페 섬타르,음식점,
디저트팩토리,기타,
마돈가,기타,
마라도가는여객선,기타,레저관광
마라도정기여객선,기타,
마라도정기여객선(운진항),레저관광,
만장굴,자연,
망고레이(섭지코지점),음식점,
망고홀릭종달점,기타,
메이즈랜드,테마관광지,테마파크
바다의향기,기타,
방림원,테마관광지,테마파크
본초족욕 수목원테마파크,기타,
봄그리고가을리조트,기타,
봉이네해물짜장,음식점,
브릭캠퍼스,테마관광지,테마파크
비양도 도항선,레저관광,
비자림,자연,
빛의벙커,공연전시,기타
뽀로로앤타요 테마파크,테마관광지,키즈
사뿐,기타,
산방산 암벽식물지대,자연,
산방산유람선,레저/체험,레저관광
산방산탄산온천,기타,레저/체험
삼성혈,문화관광,기타
상효원,자연,테마파크
새별헤이요,체험,
생각하는정원,자연,
생각하는정원(분재예술원),테마파크,
서귀포다이브,레저관광,
서귀포유람선,레저관광,
서귀포잠수함,레저관광,레저/체험
서피플,레저관광,
성산일출봉,자연,
성산포유람선,레저관광,기타
세계자동차박물관,공연전시,기타
세리월드,레저관광,레저/체험
센트럴파크,테마파크,
소인국테마파크,테마파크,테마관광지
송악왕발통,레저관광,레저/체험
송악카트체험장,레저관광,
쇠소깍산물관광농원,테마파크,기타
숨도박물관,공연전시,
스누피가든,테마관광지,테마파크
시크릿테마파크,키즈,
신라호텔제주 뷔페,음식점,
신화테마파크제주,테마관광지,
아이스뮤지엄,테마관광지,
아이스뮤지엄(수목원테마파크),공연전시,
아프리카박물관,공연전시,테마관광지
액트몬(신화월드점),키즈,
여미지식물원,자연,테마파크
영주말가든,음식점,기타
오늘은 녹차 족욕,기타,
오설록 티뮤지엄,기타,테마관광지
용머리해안,자연,
우도잠수함,레저/체험,레저관광
윈드1947 서바이벌,레저/체험,
유리박물관,공연전시,테마관광지
유진이네횟집,음식점,
일출랜드,테마관광지,테마파크
점보빌리지,공연전시,테마관광지
정방폭포,자연,
제주돌마을공원,테마관광지,테마파크
제주돌문화공원,테마관광지,
제주레일바이크,레저/체험,레저관광
제주무민랜드,테마관광지,테마파크
제주민속촌,문화관광,테마파크
제주바다체험장,레저/체험,레저관광
제주수목원 플레이박스,기타,
제주실탄사격장,레저/체험,레저관광
제주오메오메,기타,
제주유리의성,테마관광지,
제주조각공원,테마관광지,
제주카약,레저관광,
제주해양동물박물관,공연전시,테마관광지
조랑말타운 승마카트,레저/체험,
주상절리대,자연,
중문레져UTV,레저관광,
진돼지,기타,
차귀도 달래배낚시,레저관광,
차귀도유람선,레저관광,레저/체험
천제연폭포,자연,
천지연폭포,자연,
초콜릿랜드,테마관광지,공연전시
카멜리아힐,테마관광지,테마파크
캐릭파크,테마관광지,공연전시
코바다이빙스쿨,레저관광,
코코몽에코파크,기타,기타
테디베어뮤지엄 제주,공연전시,
테디베어뮤지엄제주,테마관광지,
테라피샹그릴라,기타,
토스카나호텔,숙박,기타
토종흑염소농장,기타,
포니밸리 낙타테마파크,레저관광,
피규어뮤지엄,공연전시,테마관광지
하늘여행 행글라이더,레저/체험,레저관광
하모씨워킹,테마파크,
한림공원,테마관광지,테마파크
해비치호텔앤드리조트 섬모라,음식점,
해비치호텔앤드리조트(섬모라),기타,
해비치호텔앤드리조트(하노루),기타,
허브동산,테마관광지,테마파크
헬로키티아일랜드,테마관광지,테마파크
화조원,테마관광지,테마파크
환상의짜장,음식점,기타