place,환경,친환경
연돈,0,0
숙성도 노형점,0,0
우진해장국,1,0
고집돌우럭 제주공항점,0,0
고집돌우럭 함덕점,0,0
색달식당 중문갈치조림구이 본점,0,0
고집돌우럭 중문점,5,2
이춘옥의원조고등어쌈밥,0,0
제주김만복 본점,0,0
중문수두리보말칼국수,0,0
맛나식당,0,0
곰막식당,0,0
춘심이네 본점,0,0
은희네해장국 본점,0,0
착한집,0,0
칠돈가 본점,2,0
한림칼국수,0,0
미영이네식당,1,0
바다를본돼지 제주협재판포본점,0,0
더바루시아,0,0
제주김만복 애월점,0,0
김희선제주몸국,0,0
제주오성식당,0,0
신설오름,0,0
바다를본돼지 제주서귀포점,0,0
삼대국수회관 본점,0,0
제주김만복 동문시장점,0,0
갈치왕 중문점,0,0
국수마당 본점,0,0
고이정 본점,0,0
상춘재,0,0
살아있는해물뚝배기 어마장장,0,0
해왓,1,0
당케올레국수,0,0
국수바다 본점,0,0
만덕이네,0,0
원담,0,0
일통이반,0,0
큰돈가 중문점,0,0
다정이네 올레시장본점,1,0
국시트멍,0,0
충민정,0,0
스시애월,0,0
제주어멍 통갈치,0,0
솔지식당,0,0
문개항아리 조천본점,0,0
치저스,0,0
동해미락,0,0
해월정,0,0
모살물,0,0
제주에가면,0,0
별돈별 정원점,0,0
다가미,0,0
골막식당,0,0
제주김만복김밥 서귀포점,0,0
고씨네천지국수,0,0
올레왕갈치,0,0
도토리키친 본점,0,0
산방식당,0,0
연동마라도횟집,0,0
뽈살집 제주본점,0,0
흑돼지BBQ,1,0
산도롱맨도롱,0,0
신우성흑돼지,0,0
국수만찬,0,0
옥만이네,0,0
훈남횟집,0,0
은혜전복,0,0
산지해장국,0,0
제주마당,0,0
이금돈지,0,0
효퇴국수,0,0
데미안,0,0
부두식당,0,0
돈이랑 본점,2,0
바당길,0,0
자리돔횟집,0,0
소금바치순이네,0,0
은희네해장국 서귀포점,0,0
시골길,0,0
복자씨연탄구이,1,0
로빙화,0,0
은희네해장국 함덕점,0,0
애월흑돼지 애월그때그집 본점,0,0
깡촌흑돼지,0,0
천짓골식당,0,0
바다속고등어쌈밥,0,0
가시식당,0,0
산지물 본점,0,0
몬스터살롱,0,0
제주판타스틱버거,0,0
한림칼국수 공항점,0,0
난드르바당,0,0
갈치요리전문점 만족한상회,0,0
남춘식당,0,0
진아떡집,0,0
봉순이네흑돼지,0,0
촌촌해녀촌,0,0
제주늘봄,0,0
제주한라국수,0,0
곱들락,0,0
태광식당,0,0
안녕협재씨 제주협재점,0,0
은희네해장국 2호점,0,0
제주약수터 본점,0,0
오롯,0,0
장수물식당,0,0
닻,0,0
황해식당,0,0
하원가흑돼지,0,0
정직한돈 본점,0,0
골목,0,0
만월당,0,0
고등어쌈밥,0,0
공천포식당,0,0
식당마요네즈,0,0
순수한둠비,0,0
더꽃돈 협재점,0,0
부촌,0,0
제주본참숯불갈비,0,0
제주순풍 신제주본점,0,0
제주육대표,0,0
오현돼지불백,0,0
대춘해장국 본점,0,0
공항흑돼지 시청그때그집,0,0
미스칠,0,0
용두암해촌,0,0
제주국담,0,0
순천미향,0,0
88버거,0,0
돈블랙 서귀포본점,0,0
바다를본돼지 제주노형점,0,0
대기정,0,0
산지물 신제주점,0,0
코코분식,0,0
코코마마 성산점,0,0
가람돌솥밥,0,0
성산일출봉 청운식당,2,0
제주미담,0,0
큰돈가 본점,0,0
재연식당,0,0
문치비,0,0
나원회포차,0,0
오가네전복설렁탕 서귀포본점,0,0
시흥해녀의집,0,0
도갈비,0,0
포도원흑돼지,0,0
낭쿰낭쿰,0,0
홍성방,0,0
낭뜰에쉼팡,0,0
돈사돈 별관,1,0
잇칸시타,0,0
형제도식당 본점,0,0
논짓물,0,0
정직한돈 협재직영점,0,0
남양수산,0,0
칠돈가 서광직영점,0,0
램앤블랙 (구.램하우스),1,0
서서방숯불닭갈비,0,0
태하횟집,0,0
노조미,0,0
제주예찬,0,0
표선우동가게,0,0
선흘곶,2,0
돌집식당,0,0
제주돗,0,0
민경이네어등포해녀촌,0,0
탐라우돈정육식당,0,0
중문흑돼지천국,0,0
솔동산고기국수,0,0
김지순의낭푼밥상,0,0
금박돈,0,0
뚱보아저씨,0,0
도두반점 제주사수본점,0,0
형돈,0,0
연미정,0,0
제주김만복 성산점,0,0
덕승식당,0,0
백리향,0,0
한라전복(본점),0,0
제갈양,0,0
연북로해물탕,0,0
짱구분식,0,0
만선식당,0,0
인디언키친,0,0
산방산초가집,2,0
문개항아리 애월점,0,0
숙성도 중문점,2,0
해심가든,0,0
모이세해장국 본점,0,0
곤밥2,0,0
임금님밥상,0,0
춘미향식당,0,0
제주고집,0,0
제주올래국수,0,0
스시도모다찌 제주점,0,0
옥돔식당,0,0
돈향기,0,0
제주곰집,0,0
칠돈가 표선직영점,0,0
순풍해장국 함덕본점,0,0
옹포바다횟집,0,0
범일분식,0,0
제주곱,0,0
커큐민흑돼지,0,0
글라글라하와이,0,0
짬뽕에취한날,0,0
이스트포레스트,0,0
더스푼,0,0
김녕오라이,0,0
흑돼지패밀리,1,0
센트로,0,0
제주해물밥,0,0
성산 갈치조림 순덕이네,0,0
섭지코지해녀밥상,0,0
강식당,0,0
뚱딴지,0,0
알동네집,0,0
중문색달통갈치,0,0
윤옥,0,0
돈고팡 본점,0,0
돈카츠서황,0,0
삼성혈해물탕 1호점,0,0
한라전복 성산본점,0,0
화성식당,0,0
해월정 서귀포점,0,0
하하호호 우도본점,0,0
어조횟집,0,0
올레마당,0,0
서광보말칼국수,0,0
두툼한고기돈돼지,0,0
올레삼다정,1,0
중문그때그집,0,0
어박사 한림본점,0,0
임순이네,0,0
칠돈가 제주공항직영점,0,0
천리식당천리민박,0,0
꽃가람,0,0
요기소바 본점,0,0
용담밭담,0,0
제주오누이,0,0
성산흑돼지두루치기,0,0
삼다도횟집 본점,0,0
귤품은흑돼지 제주공항점,0,0
원조마라도짜장면집,0,0
돈사돈 월정점,2,0
동복뚝배기,0,0
오전열한시,0,0
회춘,0,0
종달수다뜰,0,0
애월연어,1,0
교래흑돼지 본점,0,0
바로족발보쌈,0,0
도민상회,0,0
뜰에,0,0
제일수산횟집,0,0
삼대전통고기국수,0,0
대춘해장국 노형점,0,0
장모식탁,0,0
수영밥상 본점,0,0
탐라가든,0,0
달이뜨는식탁,0,0
맨도롱 해장국,0,0
섬소나이,0,0
제주선채향,0,0
흑돼지제주정,0,0
참맛나김밥,0,0
그리운바다 성산포,0,0
담다,0,0
희야국수,0,0
까망돼지 서귀포점,0,0
중문신라원,0,0
스시도모다찌 칠성점,0,0
오멍가멍흑돼지 본점,0,0
흑본오겹 함덕점,0,0
선흘방주할머니식당,0,0
모메존흑돼지,2,0
스시권,1,0
영빈횟집,0,0
용두암오메기떡,0,0
다미진횟집,0,0
수복강녕,0,0
오가네 전복설렁탕 함덕점,0,0
천돈가,0,0
운산식당,0,0
만지식당,0,0
한라축산정육식당,0,0
마마무말가든,0,0
용꽈배기,0,0
고미,0,0
성읍칠십리식당,0,0
한라산아래첫마을,0,0
연리지가든,0,1
돌하르방식당 본점,0,0
연탄과친한돼지,0,0
함쉐프키친,1,0
갈치공장,1,0
청파식당횟집,0,0
해비치호텔앤리조트 제주 이디,0,0
캠퍼트리호텔앤리조트 더뷰,0,0
황가네뚝배기,0,0
씨에스호텔 씨에스다이닝,0,0
포도호텔 레스토랑,0,0
씨에스호텔 카노푸스 다이닝,0,0
