,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
0,연돈,3.9,458,"47,043",a,0.0
1,숙성도노형점,4.1,423,103,a,0.0
2,우진해장국,3.7,863,"66,667","['방문자리뷰 14,116', '블로그리뷰 10,635', '고사리육개장', '사골해장국', '몸국', '녹두빈대떡']",4.41
3,고집돌우럭제주공항점,4.8,986,372,"['방문자리뷰 5,819', '블로그리뷰 5,954', '런치_ A set', '디너_산 상차림']",4.71
4,고집돌우럭함덕점,4.9,1090,"2,132","['방문자리뷰 6,857', '블로그리뷰 2,058', '런치_A set', '디너_산 상차림']",4.76
5,색달식당중문갈치조림구이본점,4.6,1297,0,"['방문자리뷰 6,126', '블로그리뷰 9,328']",4.6
6,고집돌우럭중문점,4.9,3319,"5,662","['방문자리뷰 13,227', '블로그리뷰 6,566', '런치_A set', '디너_산(山)']",4.77
7,이춘옥의원조고등어쌈밥,4.3,491,296,a,0.0
8,제주김만복본점,3.6,582,"7,499","['방문자리뷰 5,138', '블로그리뷰 3,457', '메뉴판 전체보기']",4.28
9,중문수두리보말칼국수,4.4,434,"2,220","['방문자리뷰 3,406', '블로그리뷰 1,163', '메뉴판 전체보기']",4.63
10,맛나식당,3.5,257,"21,688","['방문자리뷰 2,888', '블로그리뷰 2,005', '갈치조림', '고등어조림', '공기밥추가', '소주. 맥주']",4.46
11,곰막식당,3.8,246,"5,374","['방문자리뷰 3,679', '블로그리뷰 2,201', '회국수', '고등어회', '전복회', '다금바리 1kg(자연)']",4.47
12,춘심이네본점,3.8,159,"12,421","['방문자리뷰 4,270', '블로그리뷰 3,391']",4.45
13,은희네해장국본점,3.7,158,"1,721",a,0.0
14,착한집,4.4,345,"9,158",a,0.0
15,칠돈가본점,3.9,116,"6,168",a,0.0
16,한림칼국수,3.9,184,"13,408",a,0.0
17,미영이네식당,4.3,290,"6,640","['방문자리뷰 2,686', '블로그리뷰 2,177', '고등어회 대(大) + 탕', '고등어회 소(小) + 탕', '방어회(10월~3월)', '고등어구이']",4.53
18,바다를본돼지제주협재판포본점,4.0,94,0,a,0.0
19,더바루시아,4.0,89,246,"['방문자리뷰 1', '블로그리뷰 3', '타파스', '연어타코']",0.0
20,제주김만복애월점,4.0,449,"1,379","['방문자리뷰 3,119', '블로그리뷰 1,529']",4.23
21,김희선제주몸국,4.0,185,"1,596","['방문자리뷰 2,372', '블로그리뷰 1,657', '몸국', '고사리육개장', '성게미역국', '고등어구이']",4.46
22,제주오성식당,4.2,164,"1,203","['방문자리뷰 6,196', '블로그리뷰 3,538']",4.68
23,신설오름,4.1,176,"6,198","['방문자리뷰 1,383', '블로그리뷰 1,164', '고등어구이 - 단품', '돔베고기 - 단품', '몸국(소) - 식사', '몸국(대) - 안주']",4.41
24,바다를본돼지제주서귀포점,4.1,69,0,"['방문자리뷰 2,155', '블로그리뷰 1,082']",4.49
25,삼대국수회관본점,3.5,167,"1,331","['방문자리뷰 2,562', '블로그리뷰 1,963', '돔베고기 세트', '만두 세트', '고기국수', '비빔국수']",4.22
26,제주김만복동문시장점,4.3,428,174,"['방문자리뷰 3,254', '블로그리뷰 2,442', '메뉴판 전체보기']",4.36
27,갈치왕중문점,4.7,348,17,"['방문자리뷰 1,563', '블로그리뷰 1,247']",4.67
28,국수마당본점,3.7,110,409,"['방문자리뷰 2,348', '블로그리뷰 1,297']",4.34
29,고이정본점,4.4,302,154,"['방문자리뷰 5,091', '블로그리뷰 3,105']",4.61
30,상춘재,4.2,275,"8,142","['방문자리뷰 1,999', '블로그리뷰 1,204', '통영멍게비빔밥', '뭉게(돌문어)비빔밥', '꼬막비빔밥', '송키새우리(부추)비빔밥']",4.54
31,살아있는해물뚝배기어마장장,4.4,148,"1,500",a,0.0
32,해왓,4.1,138,"2,511","['방문자리뷰 1,412', '블로그리뷰 1,466']",4.47
33,당케올레국수,3.6,145,"4,424","['방문자리뷰 1,713', '블로그리뷰 896', '보말칼국수', '보말죽', '성게칼국수', '고기국수']",4.35
34,국수바다본점,3.8,366,"12,664","['방문자리뷰 1,617', '블로그리뷰 2,249']",0.0
35,만덕이네,3.5,82,"7,181","['방문자리뷰 1,421', '블로그리뷰 1,222', '갈치조림정식(1인)', '전복문어흑돼지두루치기(1인)', '접짝뼈국', '제주 흑돼지 오겹살구이(200g)']",4.28
36,원담,4.0,80,"5,976","['방문자리뷰 1,625', '블로그리뷰 1,390', '고등어회', '고등어회+모듬회', '갈치조림', '고등어조림']",4.71
37,일통이반,3.5,99,"9,327","['방문자리뷰 1,335', '블로그리뷰 1,177', '모듬해산물', '성게알', '문어숙회', '소라회']",0.0
38,큰돈가중문점,4.4,165,"1,085","['방문자리뷰 1,247', '블로그리뷰 932']",4.63
39,다정이네올레시장본점,4.2,308,14,"['방문자리뷰 3,891', '블로그리뷰 848', '다정이네김밥', '매운멸치고추김밥', '매운김밥', '멸치김밥']",4.33
40,국시트멍,4.0,156,"3,001","['방문자리뷰 1,677', '블로그리뷰 866']",4.46
41,충민정,4.7,494,"6,509","['방문자리뷰 3,598', '블로그리뷰 1,148']",4.77
42,스시애월,4.4,87,"4,251","['방문자리뷰 435', '블로그리뷰 593', '도로초밥세트']",4.59
43,제주어멍통갈치,4.6,387,"1,836","['방문자리뷰 1,437', '블로그리뷰 1,180']",4.38
44,솔지식당,3.9,104,"5,411","['방문자리뷰 960', '블로그리뷰 596', '가브리살', '오겹살', '멜조림', '순두부']",4.39
45,문개항아리조천본점,4.7,656,635,"['방문자리뷰 8,843', '블로그리뷰 1,423']",4.79
46,치저스,4.0,59,"11,057","['방문자리뷰 3,510', '블로그리뷰 687']",4.76
47,동해미락,4.1,121,"1,091","['방문자리뷰 800', '블로그리뷰 1,004']",4.65
48,해월정,3.9,457,"17,310","['방문자리뷰 2,572', '블로그리뷰 1,594']",4.22
49,모살물,3.7,104,"2,961",a,0.0
50,제주에가면,4.4,58,"5,349","['방문자리뷰 1,250', '블로그리뷰 1,169']",4.5
51,별돈별정원점,4.1,86,623,a,0.0
52,다가미,3.6,87,"1,339","['방문자리뷰 1,589', '블로그리뷰 601', '다가미김밥', '참치로얄', '매운 멸치쌈', '소고기롤']",4.33
53,골막식당,4.0,139,"2,465","['방문자리뷰 1,047', '블로그리뷰 806', '고기국수', '고기국수곱배기', '수육']",4.4
54,제주김만복김밥서귀포점,4.0,431,23,"['방문자리뷰 2,917', '블로그리뷰 1,537', '메뉴판 전체보기']",4.33
55,고씨네천지국수,4.3,250,"2,398","['방문자리뷰 2,558', '블로그리뷰 1,035']",4.66
56,올레왕갈치,4.4,73,455,"['방문자리뷰 819', '블로그리뷰 561', '갈치정식 (1인)', '삼치구이', '고등어구이', '흑돼지 김치찌개']",4.69
57,도토리키친본점,3.9,161,29,"['방문자리뷰 1,531', '블로그리뷰 1,308', '청귤소바', '청귤소바+톳유부초밥', '냉소바', '청귤소바+새우감자고로케']",4.51
58,산방식당,3.5,147,"15,734","['방문자리뷰 1,334', '블로그리뷰 1,473', '밀냉면', '비빔밀냉면', '수육']",4.3
59,연동마라도횟집,3.7,70,"1,032","['방문자리뷰 522', '블로그리뷰 477', '메뉴판 전체보기']",4.38
60,뽈살집제주본점,4.4,212,50,"['방문자리뷰 1,429', '블로그리뷰 877', '메뉴판 전체보기']",4.63
61,흑돼지BBQ,4.6,471,0,"['방문자리뷰 735', '블로그리뷰 510', '2인세트(오겹살300g+목살200g)', '3인세트(오겹살200g+가브리살200g+목살200g)', '4인세트(오겹살200g+가브리살200g+목살200g+항정살200g)', '된장찌개 (추가메뉴)']",4.65
62,산도롱맨도롱,3.5,186,"12,333",a,0.0
63,신우성흑돼지,4.7,834,"10,738","['방문자리뷰 1,295', '블로그리뷰 544']",4.63
64,국수만찬,4.4,218,"3,086","['방문자리뷰 1,055', '블로그리뷰 619']",4.59
65,옥만이네,4.0,106,"3,306",a,0.0
66,훈남횟집,4.4,150,"5,307","['방문자리뷰 995', '블로그리뷰 520']",4.47
67,은혜전복,3.8,141,"9,529","['방문자리뷰 2,446', '블로그리뷰 2,164']",4.5
68,산지해장국,4.4,150,"3,976",a,0.0
69,제주마당,3.8,46,"6,801","['방문자리뷰 1,283', '블로그리뷰 1,126', '철판통갈치조림 대(6~7인기준 문어, 새우, 전복)', '철판통갈치조림 중(4~5인기준 새우, 전복)', '철판통갈치조림(3인기준 새우, 전복)', '철판통갈치조림(2인기준 새우, 전복)']",4.36
70,이금돈지,3.5,34,"4,244","['방문자리뷰 758', '블로그리뷰 1,153', '통갈치구이세트+성게미역국 (2인용)', '철판통갈치조림+성게미역국(2인용)', '갈치조림[대 4인용]', '갈치조림(중 3인용)']",4.43
71,효퇴국수,3.7,84,"2,375","['방문자리뷰 687', '블로그리뷰 588', '따로국밥', '고기국수', '멸고국수', '비빔국수']",4.4
72,데미안,4.6,145,"58,219",a,0.0
73,부두식당,3.7,112,"10,524","['방문자리뷰 1,579', '블로그리뷰 1,430']",4.31
74,돈이랑본점,4.5,780,844,"['방문자리뷰 5,596', '블로그리뷰 3,031', '제주 명품흑돼지 100g', '제주 흑돼지 추가 300g', '김치말이국수', '보말된장찌개']",4.68
75,바당길,4.1,159,"3,327",a,0.0
76,자리돔횟집,4.0,60,"2,552","['방문자리뷰 867', '블로그리뷰 2,198']",4.62
77,소금바치순이네,4.2,229,"7,583","['방문자리뷰 3,106', '블로그리뷰 1,867', '돌문어볶음 소', '돌문어볶음 대', '해물탕 소', '해물탕 대']",4.5
78,은희네해장국서귀포점,4.2,66,286,"['방문자리뷰 1,121', '블로그리뷰 432', '소고기해장국']",4.46
79,시골길,3.6,73,"67,862","['방문자리뷰 765', '블로그리뷰 607', '낙지볶음 (소, 2인분)', '낙지볶음 (대,3인분)', '청국장', '소면 (추가)']",4.31
80,복자씨연탄구이,4.4,621,"14,526","['방문자리뷰 2,566', '블로그리뷰 1,931', '흑돼지 근고기(600g)', '김치찌개', '백돼지 근고기(600g)']",4.3
81,로빙화,4.4,120,"10,825","['방문자리뷰 927', '블로그리뷰 525', '커피', '피자', '한라봉에이드', '비프버거세트']",4.51
82,은희네해장국함덕점,3.6,72,106,"['방문자리뷰 991', '블로그리뷰 241']",4.36
83,애월흑돼지애월그때그집본점,4.6,157,0,"['방문자리뷰 1,994', '블로그리뷰 1,190']",4.68
84,깡촌흑돼지,4.3,502,"9,602","['방문자리뷰 878', '블로그리뷰 1,123', '메뉴판 전체보기']",0.0
85,천짓골식당,4.1,103,"1,720","['방문자리뷰 891', '블로그리뷰 604', '돔베고기 흑돼지오겹(600g)', '돔베고기 백돼지오겹(600g)', '돔베고기 흑돼지오겹절반(300g)', '돔베고기 백돼지오겹절반(300g)']",4.48
86,바다속고등어쌈밥,3.7,86,"6,215","['방문자리뷰 1,845', '블로그리뷰 1,870', '메뉴판 전체보기']",0.0
87,가시식당,3.5,82,"4,040","['방문자리뷰 874', '블로그리뷰 706', '두루치기', '수육한접시', '순대백반', '순대한접시']",4.35
88,산지물본점,3.6,177,143,a,0.0
89,몬스터살롱,4.1,211,"13,251","['방문자리뷰 3,173', '블로그리뷰 1,826']",4.48
90,제주판타스틱버거,4.1,96,805,"['방문자리뷰 1,455', '블로그리뷰 1,152']",4.56
91,한림칼국수공항점,3.9,49,31,"['방문자리뷰 1,106', '블로그리뷰 633']",4.39
92,난드르바당,3.7,63,"8,385","['방문자리뷰 1,433', '블로그리뷰 905', '제주산 흑돼지 2인(600g)+된장찌개', '제주산 백돼지 2인(600g)+ 된장찌개', '새우(블랙타이거)', '제주산 성게 미역국']",4.43
93,갈치요리전문점만족한상회,4.6,119,0,"['방문자리뷰 1,094', '블로그리뷰 1,086', '메뉴판 전체보기']",4.83
94,남춘식당,4.2,95,"3,989","['방문자리뷰 860', '블로그리뷰 658']",4.43
95,진아떡집,4.5,129,"6,189",a,0.0
96,봉순이네흑돼지,4.0,150,"8,324","['방문자리뷰 2,909', '블로그리뷰 1,271', '흑돼지모듬한판 중', '흑돼지한근', '봉순이흑돼지정식', '수제양념갈비']",4.62
97,촌촌해녀촌,3.6,118,"1,196","['방문자리뷰 205', '블로그리뷰 289', '메뉴판 전체보기']",4.2
98,제주늘봄,3.6,12,883,"['방문자리뷰 546', '블로그리뷰 48', '갈비살(한우) 160g', '꽃갈비살(한우) 160g', '안창살 (한우) 160g', '생등심 (한우) 160g']",0.0
99,제주한라국수,3.7,75,"3,723","['방문자리뷰 1,083', '블로그리뷰 569']",4.28
100,곱들락,4.2,106,"17,407","['방문자리뷰 849', '블로그리뷰 866', '제주흑돼지2인', '제주한우갈비살', '제주한우양념갈비살', '제주산돼지양념갈비']",4.54
101,태광식당,3.8,81,"7,754","['방문자리뷰 1,096', '블로그리뷰 1,013', '돼지주물럭식사', '된장뚝배기', '옥돔구이식사', '한치물회식사']",4.35
102,안녕협재씨제주협재점,4.1,211,10,"['방문자리뷰 1,599', '블로그리뷰 1,397']",4.51
103,은희네해장국2호점,3.5,26,296,"['방문자리뷰 948', '블로그리뷰 413', '소고기해장국', '내장탕', '소주', '맥주']",4.39
104,제주약수터본점,4.6,125,145,a,0.0
105,오롯,4.3,85,"21,544",a,0.0
106,장수물식당,4.2,102,"4,027","['방문자리뷰 980', '블로그리뷰 851', '고기국수', '돔베고기']",4.39
107,닻,3.9,106,"20,329",a,0.0
108,황해식당,4.0,66,"3,676","['방문자리뷰 1,825', '블로그리뷰 1,244', '메뉴판 전체보기']",4.72
109,하원가흑돼지,4.9,149,"6,525","['방문자리뷰 370', '블로그리뷰 555']",4.73
110,정직한돈본점,4.4,169,191,"['방문자리뷰 1,758', '블로그리뷰 1,490']",4.66
111,골목,4.6,165,"246,665",a,0.0
112,만월당,4.1,181,"18,789","['방문자리뷰 2,199', '블로그리뷰 1,339']",4.59
113,고등어쌈밥,3.6,139,"10,996",a,0.0
114,공천포식당,4.0,154,"6,902","['방문자리뷰 1,377', '블로그리뷰 741', '한치물회(생물)', '한치물회(냉동)', '전복물회', '전복죽']",4.45
115,식당마요네즈,4.2,139,"3,324",a,0.0
116,순수한둠비,4.4,58,821,a,0.0
117,더꽃돈협재점,4.4,115,0,a,0.0
118,부촌,4.3,201,"3,014","['방문자리뷰 1,249', '블로그리뷰 503', '성게미역국정식', '갈치조림정식', '고등어구이']",4.41
119,제주본참숯불갈비,4.1,76,144,"['방문자리뷰 687', '블로그리뷰 466']",4.69
120,제주순풍신제주본점,3.6,49,0,a,0.0
121,제주육대표,4.2,48,563,"['방문자리뷰 560', '블로그리뷰 258']",4.64
122,오현돼지불백,4.1,63,412,"['방문자리뷰 925', '블로그리뷰 686', '한치+돼지불백(1人)', '낙지+돼지불백(1人)', '돼지불백(2인이상 주문가능)(1人)', '소불고기전골 (대)']",4.36
123,대춘해장국본점,4.4,77,152,"['방문자리뷰 1,198', '블로그리뷰 329', '해장국', '내장탕']",4.47
124,공항흑돼지시청그때그집,4.4,68,0,"['방문자리뷰 838', '블로그리뷰 666', '메뉴판 전체보기']",4.73
125,미스칠,4.1,61,"1,191","['방문자리뷰 776', '블로그리뷰 634']",4.34
126,용두암해촌,4.6,369,"6,657","['방문자리뷰 2,929', '블로그리뷰 871', '3인 SET2번(돔베고기제공)', '4인 SET(돔베고기제공)', '3인 SET1번(돔베고기제공)', '2인SET(돔베고기제공)']",4.65
127,제주국담,4.3,123,"2,241","['방문자리뷰 430', '블로그리뷰 401']",4.55
128,순천미향,4.4,154,"4,060","['방문자리뷰 1,904', '블로그리뷰 655']",4.68
129,88버거,4.1,259,"12,311","['방문자리뷰 3,865', '블로그리뷰 1,153']",4.71
130,돈블랙서귀포본점,4.5,79,42,"['방문자리뷰 1,708', '블로그리뷰 756', '메뉴판 전체보기']",4.85
131,바다를본돼지제주노형점,3.5,11,0,"['방문자리뷰 713', '블로그리뷰 1,090']",4.42
132,대기정,4.1,147,"6,820","['방문자리뷰 2,272', '블로그리뷰 1,684']",4.55
133,산지물신제주점,3.8,123,48,"['방문자리뷰 424', '블로그리뷰 473', '산지물A코스3~4인(활어회,해물모듬(대),물회,고등어구이,자리구이,전복구이,우럭조림,매운탕,공기밥,튀김등)', '산지물B코스2인(활어회,해물모듬(소),물회,고등어구이,자리구이,전복구이,우럭조림,매운탕,공기밥,튀김등)', '방어코스(방어회,물회,구이,조림,튀김,매운탕)', '대게스페샬코스4인(전복죽,해물+회,콘치즈,대게,랍스타,소라구이,전복구이,튀김,탕,공기밥)']",4.11
134,코코분식,3.8,50,"2,581","['방문자리뷰 461', '블로그리뷰 452', '비빔밥', '칼국수', '육개장', '콩국수']",4.32
135,코코마마성산점,3.9,173,"1,411","['방문자리뷰 3,139', '블로그리뷰 1,885', '통 파인애플쥬스', '파인애플볶음밥', '점보씨푸드 기본2인', '점보씨푸드 기본4인']",4.53
136,가람돌솥밥,3.6,161,"10,311","['방문자리뷰 4,166', '블로그리뷰 1,238']",4.45
137,성산일출봉청운식당,4.6,676,"8,915","['방문자리뷰 968', '블로그리뷰 1,320']",0.0
138,제주미담,3.8,99,"1,662","['방문자리뷰 780', '블로그리뷰 535', '고기국수', '멸치국수', '순대국밥', '따로국밥']",4.3
139,큰돈가본점,4.1,91,704,"['방문자리뷰 750', '블로그리뷰 673', '메뉴판 전체보기']",4.61
140,재연식당,3.7,93,"4,450","['방문자리뷰 841', '블로그리뷰 475', '엄마정식', '갈치정식', '옥돔정식', '김치찌개']",4.5
141,문치비,4.1,59,"5,227","['방문자리뷰 2,484', '블로그리뷰 691', '제주산 흑돼지 오겹살 300g', '제주산 흑돼지 목살 300g', '통갈매기살', '통항정살']",4.63
142,나원회포차,4.6,84,980,"['방문자리뷰 2,135', '블로그리뷰 619']",4.82
143,오가네전복설렁탕서귀포본점,4.7,319,0,a,0.0
144,시흥해녀의집,4.5,182,"1,341","['방문자리뷰 473', '블로그리뷰 496', '조개죽', '전복죽', '오분작죽', '문어 1접시']",4.38
145,도갈비,4.6,87,"1,260","['방문자리뷰 487', '블로그리뷰 335', '꽃멸젓볶음밥', '흑도목(흑돼지목살)', '흑돼지 오겹살', '흑돼지특수부위']",4.73
146,포도원흑돼지,4.1,76,"3,148","['방문자리뷰 496', '블로그리뷰 600', '흑돼지모듬 대 (720g)', '흑오겹 (180g)', '흑돼지모듬 중 (540g)', '흑목살 (180g)']",4.36
147,낭쿰낭쿰,4.6,145,"1,022",a,0.0
148,홍성방,4.3,123,"9,612","['방문자리뷰 1,211', '블로그리뷰 854']",4.5
